id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25812986,Rental unit in San Francisco · 3 bedrooms · 4 beds · 2 baths,8119896,Patricia,,Inner Richmond,37.78058,-122.45889,Entire home/apt,319,30,0,,,3,243,0,
25840507,Resort in San Francisco · 1 bedroom · 2 beds · 1 private bath,5805679,Laurence,,Downtown/Civic Center,37.78899,-122.41279,Private room,585,3,2,2023-09-14,0.14,32,0,1,License not needed per OSTR
25842694,Home in San Francisco · ★4.64 · 1 bedroom · 1 bed · 1 bath,57068872,Echo,,Visitacion Valley,37.712,-122.39997,Entire home/apt,68,30,25,2023-07-12,0.38,3,28,2,1079166
25864368,Rental unit in San Francisco · 2 bedrooms · 3 beds · 1.5 baths,1892430,Jan,,Ocean View,37.72187,-122.45456,Entire home/apt,120,30,1,2018-10-19,0.02,30,32,0,
25869469,Serviced apartment in San Francisco · ★4.34 · 1 bedroom · 1 bed · 4 shared baths,103884979,Rams,,South of Market,37.77628,-122.41507,Private room,155,1,89,2023-11-16,1.61,15,231,34,License not needed per OSTR
25892426,Home in San Francisco · ★5.0 · 5 bedrooms · 5 beds · 2 baths,14482816,Julie,,Outer Sunset,37.75577,-122.49127,Entire home/apt,285,30,6,2023-06-15,0.10,2,167,2,
25907508,Home in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,31607663,Ximena,,West of Twin Peaks,37.72449,-122.45722,Private room,100,30,7,2023-08-13,0.11,4,89,2,STR-0003086
25912297,Home in San Francisco · ★4.82 · 2 bedrooms · 2 beds · 1 bath,11883320,Kim,,Inner Richmond,37.77987,-122.45341,Entire home/apt,235,30,11,2023-07-31,0.17,1,355,1,
25948779,Condo in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 private bath,48589875,Ut,,Financial District,37.78924,-122.39584,Private room,235,30,4,2018-08-27,0.06,1,365,0,STR-0001890
25979052,Home in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 private bath,10678810,Jeri,,Inner Richmond,37.77344,-122.46977,Private room,145,2,58,2023-11-26,0.90,1,172,20,2023-003195STR
26003720,Aparthotel in San Francisco · 1 bedroom · 2 beds · 1 bath,5805679,Laurence,,Downtown/Civic Center,37.78899002075195,-122.41278839111328,Entire home/apt,585,3,2,2023-09-14,0.14,32,0,1,License not needed per OSTR
26004362,Condo in San Francisco · ★4.90 · 1 bedroom · 2 beds · 1 bath,20767323,Roy & Annie,,Inner Sunset,37.76334,-122.4694,Entire home/apt,419,3,62,2023-10-29,0.97,1,17,10,City Registration Pending
26008354,Rental unit in San Francisco · ★4.56 · Studio · 1 bed · 1 bath,38836,Bernat,,Haight Ashbury,37.76589,-122.44677,Entire home/apt,90,30,18,2023-11-02,0.28,21,215,3,
26029679,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Nob Hill,37.790598,-122.410225,Entire home/apt,201,31,2,2020-05-13,0.03,164,184,0,
26033791,Home in San Francisco · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,5929484,Wisam,,Castro/Upper Market,37.75621,-122.43847,Entire home/apt,350,30,7,2023-04-23,0.11,1,215,1,
26035565,Rental unit in San Francisco · ★3.71 · 1 bedroom · 1 bed · 1 bath,38836,Bernat,,Haight Ashbury,37.76514,-122.44715,Entire home/apt,104,30,7,2023-09-16,0.11,21,73,2,
26040040,Guesthouse in San Francisco · ★4.85 · 1 bedroom · 1 bed · 1 bath,15259486,Ava,,Inner Richmond,37.78259,-122.46941,Entire home/apt,187,30,13,2023-08-25,0.20,2,155,1,
26053823,Boutique hotel in San Francisco · ★4.14 · 1 bedroom · 1 bed · 1 bath,55782784,Kevin,,Financial District,37.78938,-122.40608,Entire home/apt,265,2,7,2020-02-26,0.11,23,354,0,License not needed per OSTR
26053840,Boutique hotel in San Francisco · 1 bedroom · 1 bed · 1 bath,55782784,Kevin,,Chinatown,37.79114,-122.40631,Entire home/apt,250,2,0,,,23,354,0,License not needed per OSTR
26053850,Boutique hotel in San Francisco · ★3.57 · 1 bedroom · 1 bed · 1 bath,55782784,Kevin,,Financial District,37.78946,-122.40616,Entire home/apt,235,2,7,2023-09-12,0.12,23,354,1,License not needed per OSTR
26058962,Serviced apartment in San Francisco · 1 bedroom · 1 bed · 1 bath,195837612,Keri,,Downtown/Civic Center,37.78787,-122.4104,Entire home/apt,422,30,0,,,1,0,0,
26066245,Boutique hotel in San Francisco · 1 bedroom · 1 bed · 1 bath,55782784,Kevin,,Chinatown,37.79144,-122.40601,Entire home/apt,250,2,2,2023-11-17,0.03,23,354,1,License not needed per OSTR
26095551,Home in San Francisco · ★4.91 · 2 bedrooms · 2 beds · 1 bath,196142120,Aaron,,Twin Peaks,37.74787,-122.44669,Entire home/apt,296,3,46,2023-09-04,0.70,1,0,14,STR-0004744
26099225,Guest suite in San Francisco · ★4.83 · 1 bedroom · 1 bed · 1 bath,55550031,Molly,,Outer Sunset,37.75819,-122.49908,Entire home/apt,99,5,70,2023-10-27,1.07,2,60,13,STR-0004906
26105960,Rental unit in San Francisco · ★4.85 · Studio · 1 bed · 1 bath,77668947,Mina,,Mission,37.75675,-122.42393,Entire home/apt,73,30,13,2023-10-10,0.32,1,338,5,
26134644,Condo in San Francisco · ★5.0 · 3 bedrooms · 4 beds · 2 baths,24157036,Angela,,Russian Hill,37.80127,-122.41651,Entire home/apt,490,30,11,2023-06-19,0.29,4,364,1,
26140890,Home in San Francisco · ★4.83 · 2 bedrooms · 3 beds · 1 bath,189485548,Jack,,Outer Sunset,37.75237,-122.48005,Entire home/apt,101,1,97,2023-12-03,1.47,1,0,61,0005376
26160095,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.78503,-122.41468,Entire home/apt,76,30,1,2022-07-23,0.06,155,177,0,
26171533,Guest suite in San Francisco · ★4.81 · 2 bedrooms · 4 beds · 1 bath,175969733,Sat,,Crocker Amazon,37.71109,-122.44292,Entire home/apt,115,2,37,2023-10-29,0.58,4,7,4,STR-0004368
26252036,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Nob Hill,37.790598,-122.410225,Entire home/apt,203,31,0,,,164,276,0,
26252354,Rental unit in San Francisco · Studio · 1 bed · 1 bath,107434423,Blueground,,Nob Hill,37.790598,-122.410225,Entire home/apt,129,31,0,,,164,363,0,
26259702,Guest suite in San Francisco · ★4.99 · 1 bedroom · 1 bed · 1 bath,183605554,Annette,,Lakeshore,37.72987,-122.47288,Entire home/apt,152,2,212,2023-11-25,3.35,1,315,25,STR-0003759
26261610,Home in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 private bath,189949162,Joey,,Outer Sunset,37.74944,-122.50557,Private room,89,1,379,2023-11-12,6.03,5,179,81,STR-0005723
26273977,Townhouse in San Francisco · 1 bedroom · 1 bed · 1.5 shared baths,21335471,Kiara,,South of Market,37.78273,-122.389,Private room,172,30,1,2018-07-08,0.02,2,0,0,STR-0004527
26277460,Home in San Francisco · ★4.92 · 2 bedrooms · 2 beds · 1 bath,197349922,Kim,,Excelsior,37.72413,-122.426,Entire home/apt,200,2,206,2023-11-26,3.12,1,0,28,STR-0003212
