id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51603539,Rental unit in Oakland · ★4.79 · 2 bedrooms · 2 beds · 1 bath,190647413,Cheong Kyle,,Piedmont Avenue,37.82488,-122.25639,Entire home/apt,122,4,58,2023-09-02,2.28,2,79,20,
51653035,Home in Oakland · 1 bedroom · 1 shared bath,77361134,Yann,,Temescal,37.83477,-122.26008,Private room,107,1,1,2021-08-20,0.04,1,0,0,
51655988,Rental unit in Oakland · ★4.86 · 1 bedroom · 2 beds · 1 bath,10212139,Kate,,Millsmont,37.77762,-122.17568,Entire home/apt,96,1,124,2023-07-01,5.04,1,346,45,
51694536,Home in Oakland · ★4.94 · 2 bedrooms · 4 beds · 1 bath,284802620,Christina,,Clinton,37.79423,-122.24531,Entire home/apt,189,1,136,2023-09-14,8.28,2,260,92,
51715335,Home in Oakland · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,18828894,Kristiina,,South Prescott,37.80421,-122.2981,Private room,45,1,131,2023-08-30,5.23,3,58,50,
51738193,Rental unit in Oakland · 2 bedrooms · 2 beds · 2 baths,263502162,Landing,,Lakewide,37.80667,-122.26601,Entire home/apt,245,30,0,,,3,364,0,
51748063,Home in Oakland · ★4.90 · 3 bedrooms · 4 beds · 2.5 baths,3231226,Stephanie,,Santa Fe,37.839825,-122.275513,Entire home/apt,208,3,39,2023-09-03,1.86,2,172,32,
51800196,Home in Oakland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,273540,Daniel,,Longfellow,37.83472,-122.2732,Entire home/apt,135,4,7,2023-04-20,0.28,1,15,5,
51804046,Rental unit in Oakland · ★5.0 · 2 bedrooms · 2 beds · 2 baths,56874549,Fatima,,Lakeshore,37.81531,-122.24397,Entire home/apt,89,30,4,2023-08-19,0.17,3,180,3,
51807869,Rental unit in Oakland · 1 bedroom · 1 bed · 1 bath,22178415,Esteban,,Hoover-Foster,37.82467,-122.27343,Entire home/apt,150,5,1,2023-03-13,0.16,14,179,1,
